v1,v2
ham,I collected wildflowers and pressed them in a journal.
ham,We are celebrating mom birthday with a cake tonight.
spam,NOTICE: Your Microsoft account has been hacked. Click to verify identity.
spam,Your investment plan is ready. Transfer funds to activate returns.
spam,Your electric bill is overdue. Pay now to avoid service disconnection.
spam,Your health insurance claim has been approved. Log in to receive funds.
spam,Your loyalty points have expired. Claim $50 credit before midnight.
spam,FINAL WARNING: Outstanding balance of 7 on your account. Pay now.
ham,"I will pick you up at 7, be ready!"
ham,"I am at the airport, boarding soon."
spam,Win a luxury cruise for two! Enter our sweepstakes. No purchase necessary.
ham,Reminder: take out the trash before you go to bed.
ham,I tested a new sourdough recipe and it turned out great.
ham,"My new glasses arrived, I can see so much better!"
ham,Just returned from a great hiking trip!
spam,Join our wellness challenge and win $1000 in prize money this month.
ham,I entered a short story writing competition.
ham,"I tried wild swimming in the lake this morning, bracing!"
ham,Our building has a new security system installed.
ham,I went carol singing with the community choir last night.
spam,"FREE upgrade to our premium app tier, limited time, activate now."
ham,Did you hear about the new library opening nearby?
spam,Receive $150 per week simply by keeping our app open on your phone.
ham,Don not forget we have a meeting at 10am tomorrow.
spam,Earn 000 per day by sharing links online. No investment required!
spam,Receive 000 cash instantly with our new peer to peer lending platform.
spam,Earn 000 this month without leaving your house. Click to start.
ham,The power went out in our neighborhood for an hour.
spam,FREE samples of our new weight loss supplement. Just pay shipping!
ham,Just booked tickets for the music festival!
ham,We started a neighbourhood litter picking group.
ham,I am attending a friend birthday celebration on Saturday.
ham,The kids built a birdfeeder for the garden yesterday.
spam,Your tax returns show an overpayment of 50. Receive it by clicking here.
ham,I am meeting my college friends after three years!
ham,Do you need me to bring anything to the potluck?
ham,"Dad called earlier, nothing urgent just catching up."
ham,We cycled along the canal towpath this weekend.
ham,"Baked some cookies today, will bring some for you."
spam,Act now to secure your free place on our investing for beginners course.
ham,I need to replace the batteries in the smoke detector.
ham,We watched a really funny show last night.
ham,"The garden needs watering, can you handle it today?"
ham,I started a small vegetable garden in the backyard.
ham,We found a hidden waterfall during our hike.
spam,Earn money online by filling simple forms. 0 per form. Start today!
spam,You have been awarded VIP status. Log in to access exclusive deals.
ham,I finally fixed the broken shelf in the garage.
spam,You have been auto-enrolled in our rewards scheme. Claim your $50.
spam,Enter now to win the Ultimate Home Makeover worth over 0000!
spam,Earn 00 by reviewing products from home. No experience necessary!
ham,Can you text me the hotel address again?
ham,The kids want to go to the beach this weekend.
ham,"The internet is down, using mobile data."
ham,I finally cleaned out the garage today.
spam,"Dear customer, your package is delayed. Track it here and pay  fee."
ham,We had a wonderful afternoon exploring the old town.
spam,Get $500 back on your next purchase with our new card. Apply now.
ham,Can you pick up some fresh herbs from the market?
spam,Earn 0 per referral by joining our affiliate marketing program now!
ham,We took a short road trip to the mountains last weekend.
spam,Earn 500 a week stuffing envelopes from home. No experience needed!
ham,The local youth group is fundraising for a new minibus.
spam,Earn rewards by reviewing restaurants in your area. Start now!
spam,Get a FREE iPhone just by completing this short survey. Limited time offer!
spam,Our top stock trader shares secrets on making 0000 per week from home!
ham,I pressed some autumn leaves to decorate the hallway.
spam,EARN DAILY: Our automated bot trades crypto for you 24 hours!
ham,I joined a local birdwatching group last weekend.
ham,I am joining an online book club next month.
ham,I joined a cooking class on weekends.
spam,You have won an overnight stay at a 5-star hotel. Verify here.
spam,You received a secure document. Click here to view and sign it now.
ham,I need someone to review my resume.
ham,The new coffee shop near the station is really good.
spam,Warning: A hacker is accessing your account right now. Block them here.
spam,Join our investment circle and earn 20% weekly. Risk free!
ham,We installed solar panels on the rooftop this week.
ham,"There is a pothole on Main Street, be careful driving."
spam,Our top rated trading app just launched. Get 00 free on sign up!
ham,The library has a new mystery novel by your favorite author.
spam,Earn $500 monthly by renting your car when you are not using it.
ham,The restaurant reservation is confirmed for 7:30pm.
ham,I am catching up on sleep this long weekend.
ham,The whole family went cycling along the river trail.
ham,The kids want to learn how to make their own pizzas.
ham,I helped a friend move into their new apartment.
ham,Can you fix the squeaky door when you get time?
ham,The wild bird came right up to the feeder this morning.
ham,The pizza place near us has a Tuesday discount.
ham,"I am feeling a bit tired today, might skip the gym."
ham,The street lights on Oak Avenue are not working.
spam,We noticed your savings account is inactive. Verify to keep it active.
ham,I am learning to make sourdough bread from scratch.
ham,We should batch cook meals for the week on Sunday.
spam,Receive a free box of premium organic food. Just pay $2 delivery.
spam,Get a free kitchen appliance when you switch your energy plan.
spam,NOTICE: Your Google account may be deleted in 48 hours. Act now.
ham,The new park in our neighborhood looks great.
spam,Send this message to 10 friends and win a free vacation. Act fast!
ham,I am preparing a vision board for my goals.
spam,You won an Apple Watch in our customer loyalty draw. Claim now!
spam,Get a free consultation with our legal team about your debt today!
spam,You won the monthly cash prize of $3000. Verify account details.
ham,"I tried making sushi for the first time, it was great!"
spam,Your card ending in 4242 was charged 9. Click here if this was not you.
spam,Congratulations! You are our 1 millionth visitor. Click to claim your reward!
ham,I am going to the hair salon after work.
spam,You are selected for an exclusive beta testing program. 00 reward!
ham,I am doing a digital detox for the whole weekend.
ham,"Our class reunion is next month, are you going?"
spam,Earn cash by referring friends to our service. 0 per successful referral!
spam,"We are looking for local distributors. Earn 00 weekly, no experience!"
ham,I am planning to redecorate my room this month.
ham,The neighborhood watch meeting is on Thursday evening.
spam,FINAL CALL: Last chance to claim your $250 birthday reward today.
spam,Get your personalised insurance quote and save up to 40% today.
ham,The printer in the office is out of ink again.
ham,Let me know if you need anything from the market.
ham,"Good luck on your exam tomorrow, you have got this!"
ham,The local cinema has a classic films festival next week.
ham,Can we do a video call tonight to catch up?
ham,I signed up for a weekend photography workshop.
ham,Do not forget to take your medicine after dinner.
ham,I have been feeling under the weather today.
ham,I am going to try intermittent fasting this week.
spam,Lose 20 pounds in just 2 weeks with this miracle pill! Order now!
ham,"I will be in the area tomorrow, want to grab lunch?"
spam,Take control of your finances with our free budgeting tool. Start today!
spam,URGENT: Your WhatsApp account will be banned. Verify here to avoid it.
ham,I need to buy a new water filter for the kitchen.
spam,Get travel insurance for your upcoming trip starting at just  per day!
ham,I will be home by 8. Can you start dinner?
ham,We are going apple picking at the farm this weekend.
spam,FREE credit card with a $5000 limit approved for you. Claim now.
spam,You are eligible for a government housing subsidy. Apply here!
spam,FREE meal kit subscription for an entire month. Claim now!
ham,I am picking up woodworking as a new hobby.
spam,You have a surprise waiting in your parcel locker. Collect within 48 hours.
